N,P,K,temperature,humidity,ph,rainfall,label
27.2,67.1,20.8,22.27,42.92,5.8,155.05,pigeonpeas
20.7,69.7,21.8,31.95,55.5,5.51,177.69,pigeonpeas
25.8,80.6,18.0,28.22,52.68,5.25,158.88,pigeonpeas
19.2,75.9,20.1,26.77,47.77,6.22,172.03,pigeonpeas
12.5,75.0,10.0,27.73,45.49,6.26,159.33,pigeonpeas
16.4,64.4,17.4,27.89,35.85,5.03,176.92,pigeonpeas
28.8,60.9,21.8,22.81,41.57,6.59,160.45,pigeonpeas
19.6,75.6,16.1,32.48,59.47,6.09,148.04,pigeonpeas
19.8,75.0,20.2,28.12,40.32,6.5,195.45,pigeonpeas
19.5,79.8,21.8,29.33,49.14,5.13,167.78,pigeonpeas
30.5,63.2,18.6,30.85,54.04,5.12,161.47,pigeonpeas
29.1,66.2,20.7,24.94,40.47,5.73,124.47,pigeonpeas
32.1,54.9,16.1,29.42,49.11,6.05,124.23,pigeonpeas
20.2,64.9,19.2,27.2,53.63,6.7,155.85,pigeonpeas
22.5,76.0,22.4,30.54,48.07,6.15,152.91,pigeonpeas
13.4,64.3,20.6,21.62,65.21,5.68,137.72,pigeonpeas
28.4,73.1,17.7,27.7,37.99,5.29,152.82,pigeonpeas
15.2,66.5,20.9,26.19,54.35,6.42,181.77,pigeonpeas
22.1,70.6,22.9,29.3,46.96,5.32,163.91,pigeonpeas
15.5,58.8,11.8,29.41,52.63,6.61,127.18,pigeonpeas
18.1,68.7,24.6,25.88,50.65,5.66,147.77,pigeonpeas
16.8,44.1,18.7,25.86,43.6,6.6,133.9,pigeonpeas
18.0,66.5,21.7,27.67,49.37,6.14,142.25,pigeonpeas
18.3,55.0,24.8,25.31,36.85,5.73,141.73,pigeonpeas
18.3,77.6,14.5,30.53,51.62,5.54,140.45,pigeonpeas
25.2,74.2,17.2,26.89,49.79,5.63,124.9,pigeonpeas
15.5,71.7,18.8,19.28,51.83,6.01,147.45,pigeonpeas
22.1,80.2,16.9,26.88,54.35,5.84,138.79,pigeonpeas
27.1,60.4,26.9,24.88,50.21,5.5,91.41,pigeonpeas
18.4,82.0,16.6,23.11,48.89,5.72,191.06,pigeonpeas
17.4,75.5,17.8,24.29,42.71,5.84,171.78,pigeonpeas
19.8,66.1,20.8,28.33,43.73,4.74,142.47,pigeonpeas
26.9,77.1,15.2,31.99,55.12,6.03,150.38,pigeonpeas
22.0,59.1,18.4,28.94,56.62,5.31,126.57,pigeonpeas
18.3,61.4,21.3,26.18,46.57,5.22,183.91,pigeonpeas
23.4,63.1,18.7,29.37,48.28,4.96,187.95,pigeonpeas
15.5,63.8,19.6,26.62,42.57,4.9,153.13,pigeonpeas
24.4,59.5,17.9,25.92,55.04,5.12,170.47,pigeonpeas
23.0,77.8,13.9,24.54,51.99,5.45,153.51,pigeonpeas
19.5,65.9,21.3,22.74,59.65,6.78,123.27,pigeonpeas
16.8,70.8,27.0,26.83,42.73,5.54,141.76,pigeonpeas
16.6,63.4,20.1,28.47,45.73,5.89,152.64,pigeonpeas
23.7,53.4,20.9,27.71,49.39,6.0,140.91,pigeonpeas
27.1,70.2,22.8,26.75,51.88,5.87,145.63,pigeonpeas
17.8,52.7,14.9,25.16,46.71,5.76,148.17,pigeonpeas
23.3,67.5,26.8,29.82,42.76,5.2,148.38,pigeonpeas
10.6,57.1,20.8,24.05,53.29,6.53,151.05,pigeonpeas
18.1,83.9,26.5,30.33,52.33,6.7,128.79,pigeonpeas
20.8,75.3,17.1,24.99,42.5,4.96,135.66,pigeonpeas
16.5,68.8,27.3,25.74,56.13,5.29,124.31,pigeonpeas
16.3,78.1,23.1,23.6,55.02,5.66,169.56,pigeonpeas
17.7,61.2,22.2,26.5,48.81,5.32,107.89,pigeonpeas
22.5,72.3,20.9,30.93,48.48,6.05,173.07,pigeonpeas
20.1,69.6,19.0,29.55,51.32,5.44,177.73,pigeonpeas
9.8,70.1,24.8,30.94,42.83,6.88,143.96,pigeonpeas
10.4,78.2,20.6,29.57,48.18,6.4,97.94,pigeonpeas
18.0,73.9,12.1,24.69,35.09,5.91,142.77,pigeonpeas
23.3,70.3,15.5,27.01,53.26,6.31,148.72,pigeonpeas
7.3,54.8,19.3,25.66,38.63,6.35,129.79,pigeonpeas
18.5,60.3,21.2,31.99,57.02,5.52,139.7,pigeonpeas
18.4,67.0,19.8,24.41,46.02,5.39,180.6,pigeonpeas
27.9,68.7,24.9,30.68,46.73,5.84,163.3,pigeonpeas
19.1,59.0,12.2,30.68,44.23,6.23,131.51,pigeonpeas
22.9,87.3,20.6,33.49,46.27,5.87,118.05,pigeonpeas
21.7,80.1,12.7,26.77,56.51,5.01,143.46,pigeonpeas
10.3,72.8,23.0,30.14,33.07,5.4,145.73,pigeonpeas
24.8,68.6,19.6,34.84,55.66,5.76,159.92,pigeonpeas
22.1,66.3,21.7,26.15,50.03,5.76,139.29,pigeonpeas
23.5,60.4,16.5,23.39,40.76,6.79,160.23,pigeonpeas
40.6,68.6,25.1,22.36,41.55,5.11,188.7,pigeonpeas
10.6,70.1,24.2,30.14,58.06,6.05,166.31,pigeonpeas
29.6,58.1,22.3,22.35,42.33,6.54,149.04,pigeonpeas
19.6,70.7,19.5,26.88,41.08,6.94,146.34,pigeonpeas
22.4,66.8,22.3,29.31,54.82,5.6,142.87,pigeonpeas
26.9,42.2,24.3,23.83,49.66,6.45,36.0,mothbeans
17.9,43.0,25.8,23.2,52.22,6.79,43.21,mothbeans
21.2,62.3,16.3,24.35,63.01,6.81,64.51,mothbeans
21.3,48.0,16.7,28.48,47.34,6.99,59.86,mothbeans
18.5,53.5,19.4,25.32,62.69,6.25,50.37,mothbeans
14.1,42.5,21.2,29.54,51.07,7.04,53.43,mothbeans
22.6,42.5,17.9,28.1,60.95,5.72,48.06,mothbeans
20.7,55.6,25.4,22.09,44.56,6.55,64.57,mothbeans
23.5,38.6,21.7,29.96,56.52,6.6,49.0,mothbeans
18.3,45.1,20.2,30.43,48.58,7.05,53.32,mothbeans
27.1,48.2,14.3,25.02,44.51,6.81,62.46,mothbeans
16.6,48.8,14.7,29.26,54.31,6.24,43.23,mothbeans
29.6,46.7,21.1,25.43,59.06,6.41,66.59,mothbeans
12.3,50.8,11.5,28.29,47.93,6.88,35.7,mothbeans
23.2,52.8,24.1,24.21,44.01,6.77,67.3,mothbeans
23.4,53.1,19.4,22.62,52.45,6.57,47.27,mothbeans
17.0,41.1,33.0,26.85,52.48,6.61,48.57,mothbeans
23.1,46.0,29.2,27.63,56.29,7.08,32.1,mothbeans
27.4,56.4,19.3,26.81,58.7,6.59,46.45,mothbeans
9.9,54.3,19.6,24.45,52.64,6.76,40.6,mothbeans
23.5,38.4,24.0,26.8,64.13,7.67,44.92,mothbeans
8.5,50.5,26.8,28.81,54.35,6.23,49.63,mothbeans
16.2,34.2,13.4,27.87,50.92,6.06,60.58,mothbeans
29.1,48.3,12.9,28.55,43.33,7.11,53.08,mothbeans
18.1,61.3,17.5,25.99,51.42,6.53,54.08,mothbeans
15.1,41.4,22.3,31.52,50.98,6.67,40.04,mothbeans
20.0,42.2,22.0,24.47,58.76,6.49,42.19,mothbeans
31.3,53.3,24.3,29.46,55.77,6.7,68.99,mothbeans
11.8,37.2,15.2,31.55,45.92,7.44,43.65,mothbeans
15.7,43.6,10.7,29.44,54.03,7.12,67.56,mothbeans
28.5,52.2,23.4,27.39,57.03,7.14,48.57,mothbeans
30.3,43.6,16.7,26.42,62.17,6.23,51.02,mothbeans
20.5,46.3,11.9,31.11,58.33,6.34,61.7,mothbeans
14.8,53.2,20.6,23.73,57.57,5.66,63.72,mothbeans
31.5,51.0,23.2,25.09,53.36,6.48,49.89,mothbeans
29.0,49.9,19.5,26.81,55.33,7.18,47.12,mothbeans
24.4,45.6,18.2,31.71,60.5,7.01,50.44,mothbeans
16.9,50.6,19.4,29.14,45.0,6.71,54.38,mothbeans
20.8,47.1,18.5,25.1,50.9,6.79,59.91,mothbeans
20.2,51.2,14.6,27.07,48.36,6.52,51.04,mothbeans
22.7,44.5,17.1,26.16,55.27,6.88,57.19,mothbeans
28.3,46.7,22.1,25.87,60.38,7.11,67.38,mothbeans
25.4,41.1,21.3,30.94,49.42,6.15,54.81,mothbeans
15.6,47.8,20.7,23.88,38.66,6.92,54.12,mothbeans
27.9,42.3,16.0,32.83,50.53,7.17,35.81,mothbeans
22.6,40.2,19.3,30.48,58.48,6.63,24.69,mothbeans
24.4,49.8,11.3,31.27,56.23,7.08,54.88,mothbeans
28.3,49.5,20.7,26.61,55.57,7.93,50.05,mothbeans
15.4,53.5,25.7,27.55,51.32,6.76,45.85,mothbeans
20.8,45.0,14.1,23.7,45.33,6.96,53.44,mothbeans
18.3,50.9,17.7,26.43,56.09,6.5,50.4,mothbeans
13.2,51.9,21.3,29.48,47.99,6.87,62.28,mothbeans
22.7,51.1,25.0,31.89,66.1,6.98,51.86,mothbeans
33.6,42.2,18.2,24.68,56.42,6.88,43.53,mothbeans
11.8,49.0,17.2,26.9,49.52,6.39,60.9,mothbeans
20.8,50.5,12.1,27.55,49.33,6.88,48.83,mothbeans
24.2,48.1,20.4,23.81,52.44,7.38,56.27,mothbeans
21.6,33.4,28.2,29.77,51.56,6.98,46.23,mothbeans
20.4,49.1,21.1,25.83,59.7,7.18,44.5,mothbeans
14.5,63.5,19.9,27.41,54.12,6.71,51.84,mothbeans
22.2,45.5,21.3,26.64,48.61,7.1,51.13,mothbeans
17.2,42.9,20.0,25.63,64.34,6.91,55.8,mothbeans
10.1,50.6,16.7,27.98,53.3,6.42,48.31,mothbeans
27.0,50.2,23.3,27.35,57.61,6.93,32.64,mothbeans
25.8,56.3,20.9,26.88,49.35,6.4,46.67,mothbeans
21.3,39.2,20.1,25.81,55.18,6.55,58.94,mothbeans
22.1,53.1,16.1,28.96,54.87,6.88,48.03,mothbeans
26.4,52.1,25.2,32.96,41.66,6.92,48.54,mothbeans
22.1,47.0,22.7,28.42,65.09,6.32,60.86,mothbeans
25.5,50.4,17.8,30.99,60.74,7.22,43.88,mothbeans
19.5,55.2,24.0,23.83,50.62,7.03,35.57,mothbeans
27.6,54.1,18.0,28.47,46.39,6.52,49.39,mothbeans
22.6,40.0,16.9,24.71,55.09,6.18,46.16,mothbeans
22.0,53.7,17.0,23.57,53.52,6.74,41.34,mothbeans
14.6,47.5,12.9,25.78,55.13,6.62,49.25,mothbeans
22.4,48.5,21.9,31.58,54.15,6.85,55.92,mothbeans
16.8,48.5,12.7,30.85,56.04,6.65,50.91,mothbeans
17.8,46.9,15.1,28.73,61.68,6.0,54.07,mothbeans
16.9,56.3,11.7,23.4,56.41,6.64,69.13,mothbeans
15.7,47.4,19.7,27.41,46.7,6.68,47.57,mothbeans
31.6,40.2,19.4,28.91,61.18,7.05,53.78,mothbeans
27.7,45.2,18.7,28.53,62.84,6.52,45.91,mothbeans
30.6,49.3,15.8,22.47,71.91,7.47,42.54,mothbeans
14.9,56.6,15.3,25.33,46.26,6.04,45.15,mothbeans
21.4,52.2,21.9,27.81,54.46,7.32,46.21,mothbeans
14.5,42.0,17.8,29.61,40.51,6.71,54.59,mothbeans
17.5,65.4,21.3,21.41,56.32,7.14,74.49,mothbeans
16.4,49.9,16.5,27.51,49.71,6.83,43.84,mothbeans
27.2,56.9,20.7,28.43,64.54,7.26,46.83,mothbeans
19.0,46.9,25.2,30.55,48.35,6.65,50.37,mothbeans
26.3,51.7,22.3,30.08,42.86,6.36,54.96,mothbeans
24.0,53.9,18.4,29.75,50.17,7.37,53.64,mothbeans
32.5,56.5,21.0,25.6,41.15,6.75,63.84,mothbeans
13.6,55.4,19.0,22.28,57.51,6.89,26.74,mothbeans
27.3,54.1,20.0,26.82,40.61,7.29,27.13,mothbeans
26.7,45.8,18.7,31.0,53.17,6.39,46.04,mothbeans
16.1,44.0,19.3,32.18,40.53,7.04,61.97,mothbeans
26.0,50.3,20.8,30.13,51.08,6.56,35.34,mothbeans
22.7,54.5,16.0,29.29,62.86,6.75,20.92,mothbeans
19.9,46.4,15.9,29.14,55.16,6.83,56.71,mothbeans
22.2,45.0,21.9,25.12,83.7,6.3,52.06,mungbean
15.5,38.4,24.3,23.94,90.62,6.12,47.54,mungbean
16.1,41.2,16.5,23.25,94.81,6.97,36.84,mungbean
16.2,52.9,21.4,29.24,92.87,6.93,42.34,mungbean
21.6,38.8,19.5,27.36,78.45,6.93,45.9,mungbean
17.9,36.8,23.4,29.14,83.48,6.65,35.23,mungbean
23.5,43.6,19.5,30.07,82.93,7.26,42.09,mungbean
6.7,53.1,18.5,28.8,87.94,6.51,53.22,mungbean
16.7,46.6,22.2,29.97,89.12,7.08,59.42,mungbean
15.4,44.7,23.5,27.79,79.97,6.68,44.64,mungbean
19.7,48.3,17.3,24.44,85.41,6.46,54.05,mungbean
18.3,35.8,19.8,31.17,72.88,6.94,32.69,mungbean
25.0,51.5,15.8,26.23,93.65,6.86,53.28,mungbean
11.7,50.7,10.0,25.19,81.93,6.84,41.57,mungbean
21.2,45.1,20.8,27.47,85.34,6.73,50.46,mungbean
23.8,55.0,22.4,25.26,83.14,6.68,46.02,mungbean
30.3,40.1,21.0,26.75,91.88,7.66,58.56,mungbean
18.6,55.9,12.2,29.03,67.97,7.17,41.0,mungbean
22.6,49.1,18.6,29.05,84.9,6.99,53.02,mungbean
12.0,45.6,11.1,25.31,84.37,6.74,45.76,mungbean
9.0,47.9,25.5,26.54,82.28,7.1,46.73,mungbean
25.2,47.2,15.7,31.22,95.36,6.91,46.53,mungbean
21.0,56.5,25.0,29.49,79.68,6.71,41.23,mungbean
26.9,40.5,23.8,34.23,89.63,6.58,47.89,mungbean
14.1,42.7,16.4,31.54,87.14,6.67,47.5,mungbean
23.6,55.3,15.5,31.43,92.57,5.43,49.93,mungbean
30.3,43.8,21.4,23.84,81.0,6.78,48.68,mungbean
23.1,54.3,16.6,30.29,80.6,6.5,54.38,mungbean
22.4,59.9,20.4,27.84,91.58,7.34,55.39,mungbean
21.0,45.2,18.1,26.35,87.55,6.71,39.6,mungbean
13.1,52.8,12.9,28.5,75.73,6.22,54.95,mungbean
27.8,39.9,11.1,30.84,81.76,6.68,38.51,mungbean
17.9,53.3,20.9,29.5,87.32,6.28,52.7,mungbean
23.5,49.4,17.8,25.36,90.03,6.89,52.96,mungbean
13.2,51.3,17.8,30.23,80.92,6.82,32.71,mungbean
15.1,43.5,22.8,26.09,67.51,7.08,48.74,mungbean
28.2,36.4,24.7,28.65,88.14,6.38,44.25,mungbean
19.3,51.5,18.9,27.09,77.68,6.71,41.93,mungbean
28.3,33.6,18.6,27.34,72.9,6.15,58.81,mungbean
20.6,45.8,22.0,30.3,68.01,6.98,42.77,mungbean
11.8,54.6,14.6,24.88,89.88,6.91,41.55,mungbean
25.5,49.3,20.9,33.84,85.77,6.9,48.61,mungbean
18.1,61.6,22.2,22.54,83.65,6.7,53.48,mungbean
24.5,55.2,22.7,26.21,93.33,6.87,46.87,mungbean
21.1,43.4,12.3,29.11,88.82,7.34,57.33,mungbean
13.3,48.2,17.0,29.75,94.7,6.59,52.25,mungbean
21.8,47.7,16.5,27.7,76.64,6.76,30.57,mungbean
32.0,36.9,20.4,27.83,84.79,6.27,43.76,mungbean
23.5,41.4,21.9,29.23,75.3,6.35,43.51,mungbean
20.7,44.1,26.0,27.31,83.62,6.74,51.83,mungbean
26.4,33.7,18.0,32.18,83.51,7.14,27.0,mungbean
22.1,48.3,18.0,30.52,88.76,6.6,68.39,mungbean
22.0,46.3,24.6,30.62,85.27,6.61,52.25,mungbean
15.5,36.3,21.2,25.1,88.74,6.54,49.19,mungbean
22.2,50.8,25.1,27.76,89.22,6.49,57.45,mungbean
26.2,53.0,21.2,27.1,97.93,6.82,66.75,mungbean
16.8,49.6,15.4,24.98,83.11,6.1,54.97,mungbean
28.1,45.7,14.7,29.08,79.35,7.21,55.59,mungbean
20.5,52.1,13.8,26.39,86.48,6.43,49.05,mungbean
16.6,52.8,22.6,29.97,80.19,6.99,46.87,mungbean
26.0,50.2,24.8,24.79,93.89,6.19,44.19,mungbean
19.6,42.2,27.4,33.16,83.3,6.97,41.39,mungbean
24.8,49.9,23.4,25.31,81.61,6.97,42.5,mungbean
19.5,56.4,24.7,28.66,82.17,6.85,37.2,mungbean
20.7,43.8,17.7,30.38,89.31,6.3,47.39,mungbean
23.5,62.7,15.4,26.29,84.05,6.8,34.52,mungbean
22.5,44.3,23.4,30.56,81.15,6.23,49.53,mungbean
11.0,48.2,21.7,24.31,94.99,6.6,47.71,mungbean
15.4,43.3,20.4,32.36,79.86,7.11,49.18,mungbean
25.6,49.6,21.5,28.04,85.21,7.02,43.82,mungbean
20.3,35.8,21.3,26.21,88.91,6.71,72.61,mungbean
18.4,44.2,25.1,27.1,75.21,6.31,58.88,mungbean
14.2,40.4,25.2,30.43,87.88,6.96,38.04,mungbean
15.6,48.9,22.2,26.25,78.67,6.71,49.86,mungbean
10.9,55.0,23.4,25.75,89.94,5.77,43.14,mungbean
20.5,52.5,22.1,27.34,79.22,7.01,39.88,mungbean
18.0,31.4,18.2,24.47,89.16,6.69,37.28,mungbean
16.2,62.3,23.0,33.46,91.63,7.18,51.46,mungbean
20.7,50.1,14.4,26.3,90.17,6.26,42.55,mungbean
22.8,42.6,24.2,30.49,86.51,5.43,55.74,mungbean
31.5,49.1,15.2,28.63,83.61,6.81,55.95,mungbean
13.4,49.2,21.1,25.05,81.54,6.82,58.99,mungbean
26.8,43.3,16.6,27.98,93.83,6.02,41.18,mungbean
25.9,49.4,22.2,30.35,80.8,6.31,51.8,mungbean
17.1,43.7,19.9,27.44,78.78,7.8,53.06,mungbean
22.0,45.2,13.6,31.58,88.99,6.58,44.21,mungbean
18.7,43.2,21.7,31.06,80.22,6.99,41.83,mungbean
21.9,38.0,17.7,30.76,79.3,6.44,60.88,mungbean
28.5,49.0,23.5,26.62,76.34,5.86,49.82,mungbean
24.0,52.1,20.0,24.76,82.1,6.63,53.09,mungbean
23.5,51.6,21.6,26.16,84.5,6.59,41.42,mungbean
18.8,53.7,16.2,28.59,86.46,6.54,38.25,mungbean
13.6,50.3,17.6,29.64,90.71,6.65,43.44,mungbean
20.0,44.3,18.2,21.49,88.16,6.81,47.01,mungbean
27.0,53.9,23.4,27.98,83.85,6.64,39.49,mungbean
13.4,38.5,26.7,28.47,83.81,6.19,47.92,mungbean
15.7,41.7,16.8,27.17,88.06,6.89,34.49,mungbean
21.6,41.3,24.3,31.87,92.64,5.92,39.04,mungbean
16.1,55.6,11.3,29.27,85.76,5.88,53.37,mungbean
17.0,54.6,15.2,31.93,82.19,7.0,52.83,mungbean
37.6,63.6,23.1,29.01,63.54,6.62,75.03,blackgram
33.9,63.4,21.0,28.47,62.81,6.94,73.33,blackgram
33.8,52.6,20.0,30.45,71.01,7.31,69.65,blackgram
37.8,64.4,19.3,32.31,68.87,7.14,54.18,blackgram
43.9,72.9,20.6,37.15,63.2,6.76,63.16,blackgram
45.6,56.8,19.8,32.48,72.57,7.1,76.42,blackgram
37.0,75.4,14.9,33.48,64.1,6.49,57.49,blackgram
33.1,70.9,19.2,28.48,59.04,7.56,42.68,blackgram
41.6,61.1,14.7,26.92,59.69,7.02,65.73,blackgram
35.1,65.9,19.3,30.19,58.15,7.55,66.58,blackgram
36.9,79.8,17.1,30.32,63.09,6.89,69.36,blackgram
48.0,72.9,29.2,26.76,73.64,6.89,75.29,blackgram
45.0,67.1,18.8,29.47,59.36,6.79,74.38,blackgram
40.9,65.1,13.4,31.2,66.32,7.45,70.59,blackgram
32.4,67.6,18.5,31.08,60.4,6.82,79.96,blackgram
41.3,62.9,21.1,31.51,63.18,7.36,52.81,blackgram
46.4,50.2,25.7,30.87,54.43,6.95,73.05,blackgram
37.7,83.3,16.6,28.48,63.46,6.31,74.27,blackgram
48.1,68.2,12.7,28.46,63.64,6.87,55.6,blackgram
47.8,70.2,22.3,26.4,68.78,6.63,52.97,blackgram
50.0,66.5,13.5,35.35,66.56,7.11,60.54,blackgram
41.8,61.1,17.3,30.04,56.61,6.62,61.38,blackgram
43.5,65.5,18.0,29.33,72.59,7.47,75.53,blackgram
48.5,54.2,18.7,27.21,66.47,7.06,61.85,blackgram
42.7,85.2,21.8,38.81,66.39,7.03,59.44,blackgram
37.0,57.1,16.3,26.78,64.94,7.36,61.88,blackgram
37.3,58.7,17.9,28.71,61.38,7.49,79.19,blackgram
41.4,63.5,18.9,31.25,66.52,7.09,68.13,blackgram
32.3,77.3,19.6,31.8,68.33,6.79,66.21,blackgram
39.1,67.1,19.4,32.87,52.77,6.39,66.9,blackgram
46.6,57.1,20.7,35.42,61.23,6.83,80.92,blackgram
26.9,77.0,22.4,31.52,63.22,6.85,60.51,blackgram
49.2,72.8,20.6,26.83,66.79,7.14,81.16,blackgram
46.7,71.3,20.8,29.23,73.35,6.96,70.1,blackgram
37.2,72.7,12.7,30.92,59.6,7.38,66.4,blackgram
43.3,86.2,19.2,36.2,61.51,6.85,93.01,blackgram
40.0,84.5,20.9,25.81,61.41,7.08,57.44,blackgram
47.4,61.5,21.9,33.61,59.39,7.57,64.46,blackgram
45.9,80.0,16.2,30.54,62.57,7.24,55.68,blackgram
31.6,70.1,16.4,32.51,70.4,7.08,77.52,blackgram
43.5,71.0,16.7,29.69,57.62,6.86,84.89,blackgram
38.8,53.5,21.1,27.47,67.99,6.85,84.7,blackgram
40.5,65.6,23.1,32.25,53.09,6.76,80.24,blackgram
35.6,60.5,17.4,31.96,61.07,6.88,66.02,blackgram
50.5,73.6,22.6,32.92,62.69,7.4,64.35,blackgram
46.2,75.6,19.5,29.96,76.72,7.01,51.29,blackgram
35.6,50.4,18.5,28.2,63.08,6.56,88.36,blackgram
32.0,66.8,18.2,25.32,49.59,7.81,72.69,blackgram
37.7,76.0,22.0,32.46,51.01,7.23,63.08,blackgram
42.6,65.5,20.3,31.27,65.24,6.54,81.28,blackgram
41.4,72.8,28.1,27.1,69.3,6.92,58.27,blackgram
47.5,69.8,15.6,28.38,67.63,7.14,72.07,blackgram
44.7,69.7,21.1,28.6,66.17,7.78,66.27,blackgram
45.8,64.8,16.9,25.55,73.14,6.66,74.39,blackgram
42.0,57.3,15.5,27.55,61.22,7.49,67.36,blackgram
31.7,58.0,19.0,26.6,71.26,7.66,53.49,blackgram
38.8,72.7,19.5,28.76,53.58,6.85,68.76,blackgram
46.4,67.2,30.7,27.78,58.67,6.99,78.49,blackgram
39.7,65.9,18.3,25.12,52.35,6.69,67.71,blackgram
43.0,63.6,14.5,36.07,63.08,7.02,75.75,blackgram
38.1,64.6,20.1,33.76,64.68,7.09,57.54,blackgram
33.8,75.4,10.7,27.66,65.8,7.36,67.74,blackgram
39.3,64.3,18.6,30.82,65.43,7.54,61.75,blackgram
41.9,56.3,19.1,31.25,58.51,6.8,75.47,blackgram
36.1,72.9,22.2,33.57,63.67,6.31,68.31,blackgram
38.6,65.4,22.9,27.54,54.52,7.09,74.9,blackgram
34.4,67.3,17.0,33.28,74.54,7.22,78.88,blackgram
46.7,79.9,18.4,28.36,62.87,7.2,74.92,blackgram
38.2,66.8,15.9,25.99,61.58,6.97,70.73,blackgram
48.7,69.3,14.5,32.17,76.12,7.15,58.02,blackgram
49.2,57.6,20.2,33.87,56.3,7.71,67.97,blackgram
39.5,65.2,13.9,37.76,57.12,7.25,62.67,blackgram
33.9,71.9,17.3,26.4,57.33,6.95,64.56,blackgram
27.5,54.6,15.0,32.1,64.52,6.9,64.25,blackgram
31.2,68.6,21.2,28.77,68.02,7.03,58.2,blackgram
31.8,67.8,26.2,32.35,70.18,7.75,48.43,blackgram
48.3,67.3,13.8,25.59,83.0,7.03,61.32,blackgram
40.7,75.3,11.6,26.21,49.25,7.09,69.93,blackgram
42.3,69.7,18.5,27.67,69.26,6.91,54.52,blackgram
26.7,78.8,19.1,30.24,61.1,7.54,68.16,blackgram
32.8,59.1,19.9,28.08,60.9,7.88,87.0,blackgram
45.3,68.1,17.2,31.98,60.66,7.28,78.23,blackgram
41.7,67.7,18.2,33.08,58.64,7.13,84.44,blackgram
39.1,58.4,20.5,31.8,76.79,7.11,71.91,blackgram
43.4,74.7,23.2,34.86,70.9,6.15,79.68,blackgram
49.8,85.6,11.2,31.25,65.16,7.4,60.76,blackgram
38.7,66.9,17.5,26.35,74.46,7.15,61.56,blackgram
40.4,71.0,19.9,34.09,54.41,7.27,40.61,blackgram
41.2,67.7,15.3,28.18,55.69,6.82,79.86,blackgram
54.4,61.3,25.9,32.73,49.75,6.95,83.4,blackgram
27.4,52.4,16.5,34.72,60.1,6.94,62.47,blackgram
44.1,61.4,18.8,31.37,66.13,7.51,65.46,blackgram
39.3,55.9,21.2,25.51,65.72,6.95,60.46,blackgram
43.4,80.6,16.6,27.25,66.05,7.93,71.83,blackgram
36.1,66.1,11.6,33.97,55.12,7.27,79.25,blackgram
39.7,64.2,17.3,29.49,70.62,6.59,50.57,blackgram
44.3,74.1,23.1,30.24,66.68,7.05,72.09,blackgram
58.7,58.0,17.7,32.28,70.13,6.84,65.23,blackgram
44.8,60.9,15.6,32.09,51.75,6.22,69.13,blackgram
34.9,67.5,22.7,30.84,67.18,7.74,72.59,blackgram
18.2,67.8,20.2,23.79,55.09,6.66,41.58,lentil
18.6,66.3,18.0,16.43,58.95,6.99,37.22,lentil
18.1,68.5,17.4,23.54,56.46,6.45,64.34,lentil
22.9,63.2,26.3,27.18,59.62,7.04,60.94,lentil
20.7,65.3,23.7,21.32,62.29,6.54,36.7,lentil
19.9,51.3,19.5,22.84,70.7,7.33,58.66,lentil
13.9,75.8,9.8,23.47,61.43,7.84,42.8,lentil
17.5,70.4,17.6,15.3,51.31,6.56,47.03,lentil
22.6,61.8,29.8,29.01,73.12,7.11,45.49,lentil
19.2,83.2,18.1,21.3,57.3,6.61,40.72,lentil
21.6,68.7,23.4,25.52,63.53,7.32,53.87,lentil
26.1,59.7,24.8,23.74,67.57,6.39,47.01,lentil
23.2,74.9,19.9,27.77,65.6,7.09,42.19,lentil
19.4,71.2,15.6,25.22,72.75,6.55,35.56,lentil
17.0,71.2,9.3,23.3,67.83,6.82,38.85,lentil
8.8,64.6,21.7,21.32,57.11,6.49,32.87,lentil
18.3,71.6,15.7,26.39,81.43,7.23,46.1,lentil
17.7,65.9,19.7,18.38,65.55,6.57,36.43,lentil
20.6,72.4,14.0,25.94,62.82,7.12,43.88,lentil
18.4,52.8,17.9,20.7,71.71,6.76,56.96,lentil
17.7,64.5,19.1,27.76,66.0,6.85,55.59,lentil
11.9,81.8,20.1,24.48,67.19,6.96,45.74,lentil
15.2,61.9,14.5,25.93,83.94,6.6,45.3,lentil
20.9,63.2,23.8,24.25,61.8,6.98,61.04,lentil
25.9,64.4,16.6,18.74,61.46,7.51,50.17,lentil
18.6,58.3,12.3,21.42,64.93,6.59,43.38,lentil
20.3,50.3,18.6,26.02,72.57,7.37,34.59,lentil
22.8,66.2,19.1,24.5,51.95,7.5,49.15,lentil
15.8,69.1,19.6,27.54,48.28,6.57,52.63,lentil
20.5,67.6,24.4,25.21,59.3,6.32,40.95,lentil
16.0,66.8,18.1,21.1,50.93,7.02,48.33,lentil
22.5,68.3,18.5,21.61,60.6,6.68,43.09,lentil
19.6,76.2,14.6,24.31,68.02,7.65,44.53,lentil
20.2,66.5,22.3,17.06,56.87,6.91,26.1,lentil
15.9,63.4,19.7,29.02,52.59,6.58,44.23,lentil
21.8,65.8,17.3,25.33,64.55,6.44,53.75,lentil
27.3,72.6,11.4,27.68,70.9,7.34,40.95,lentil
15.0,79.3,24.8,19.26,50.44,6.67,46.42,lentil
17.6,63.0,14.1,27.73,70.56,6.92,39.95,lentil
19.9,68.8,16.6,30.69,70.54,7.28,48.88,lentil
22.1,70.7,20.4,20.04,71.63,6.71,44.27,lentil
